artist_id,artist_name,hours_listened,rank,duration,age,genre,dominant_era,preference
1,Ari Lennox,63.36794194,1,228124591,32,R&B/Soul,Late 2010's,1
2,Summer Walker,57.42989556,2,206747624,27,R&B/Soul,2010's,1
3,Beyonce,52.90905472,3,190472597,42,R&B/Soul,Late 2000's,1
4,Jhene Aiko,49.13765778,4,176895568,35,R&B/Soul,2010's,1
5,Jazmine Sullivan,37.01785722,5,133264286,36,R&B/Soul,2010's,1
6,SZA,32.01366722,6,115249202,34,R&B/Soul,2010's,1
7,Snoh Aalegra,30.25011722,7,108900422,36,R&B/Soul,Late 2010's,1
8,Raveena,29.39363861,8,105817099,30,R&B/Soul,Late 2010's,1
9,Daniel Caesar,28.77854083,9,103602747,28,R&B/Soul,Late 2010's,1
11,H.E.R.,23.49069972,10,84566519,26,R&B/Soul,Late 2010's,1
12,Anderson .Paak,18.92683806,11,68136617,37,R&B/Soul,Late 2010's,1
13,Smino,17.18241889,12,61856708,32,Hip-Hop/Rap,Late 2010's,1
14,Michael Jackson,16.82490139,13,60569645,50,Pop,1980's,1
15,Free Nationals,16.55263583,14,59589489,37,R&B/Soul,Late 2010's,1
16,SiR,16.39550667,15,59023824,37,R&B/Soul,Late 2010's,1
18,Trey Songz,15.77752056,16,56799074,38,R&B/Soul,2000's,1
19,Cleo Sol,14.18653556,17,51071528,33,R&B/Soul,2020's,1
20,Teyana Taylor,13.71871778,18,49387384,32,R&B/Soul,Late 2010's,1
21,Lauryn Hill,13.25330222,19,47711888,48,R&B/Soul,1990's,1
24,Brent Faiyaz,11.43081417,21,41150931,28,R&B/Soul,2020's,1
25,Syd,11.064825,22,39833370,31,R&B/Soul,Late 2010's,1
26,Musiq Soulchild,10.53044333,23,37909596,46,R&B/Soul,2000's,1
27,Kehlani,10.16270667,24,36585744,28,R&B/Soul,2010's,1
28,dvsn,9.892348056,25,35612453,38,R&B/Soul,2020's,1
29,Alicia Keys,9.279733056,26,33407039,42,R&B/Soul,2000's,1
30,Alex Isley,9.053764167,27,32593551,36,R&B/Soul,Late 2010's,1
5,J. Cole,9,28,29240490,38,Hip-Hop/Rap,2010's,1
31,Chris Brown,8.978317778,29,32321944,34,R&B/Soul,2000's,1
34,Miguel,7.793579167,30,28056885,38,R&B/Soul,2010's,1
35,Jacquees,7.744882778,31,27881578,29,R&B/Soul,2010's,1
36,Bryson Tiller,7.424479444,32,26728126,30,R&B/Soul,Late 2010's,1
37,Moonchild,6.172958333,33,22222650,34,R&B/Soul,Late 2010's,1
39,USHER,5.666924722,34,20400929,45,R&B/Soul,2000's,1
40,Janet Jackson,5.630487222,35,20269754,57,R&B/Soul,1990's,0
41,Sade,5.331874444,36,19194748,64,R&B/Soul,1990's,1
10,Drake,5,37,93749944,37,Hip-Hop/Rap,2010's,1
43,The Internet,4.961735278,38,17862247,31,R&B/Soul,Late 2010's,1
45,NxWorries,4.726463333,39,17015268,37,R&B/Soul,2020's,1
46,Megan Thee Stallion,4.526665556,40,16295996,28,Hip-Hop/Rap,2020's,1
47,Sabrina Claudio,4.289663611,41,15442789,27,R&B/Soul,2020's,1
48,Gunna,4.277666944,42,15399601,30,Hip-Hop/Rap,Late 2010's,0
49,Jorja Smith,4.077294722,43,14678261,26,R&B/Soul,2020's,1
22,Kendrick Lamar,4,44,42550245,36,Hip-Hop/Rap,2010's,1
50,THE CARTERS,3.967340278,45,14282425,42,R&B/Soul,Late 2010's,1
51,August Alsina,3.959538056,46,14254337,31,R&B/Soul,Early 2010's,1
52,Donald Lawrence,3.808402778,47,13710250,62,Christian,2010's,1
53,Kali Uchis,3.64636,48,13126896,29,R&B/Soul,Late 2010's,1
54,Jill Scott,3.453593611,49,12432937,51,R&B/Soul,Early 2000's,1
55,Bob Marley,3.436169722,50,12370211,36,Reggae,Late 1970's,1
56,Ciara,3.296556389,51,11867603,38,R&B/Soul,2000's,1
57,Marvin Sapp,3.293980833,52,11858331,56,Christian,2010's,1
58,J Hus,3.286949722,53,11833019,27,Hip-Hop/Rap,2020's,1
59,Nina Simone,3.110548611,54,11197975,70,Jazz,1960's,1
60,Deante' Hitchcock,3.093143333,55,11135316,30,Hip-Hop/Rap,Late 2010's,1
61,Migos,2.919438056,56,10509977,32,Hip-Hop/Rap,2010's,1
62,Kanye West,2.884814167,57,10385331,46,Hip-Hop/Rap,2010's,1
63,Mariah Carey,2.85854,58,10290744,54,R&B/Soul,2000's,1
64,Lil Baby,2.753167222,59,9911402,28,Hip-Hop/Rap,Late 2010's,0
65,PARTYNEXTDOOR,2.745191389,60,9882689,30,R&B/Soul,Late 2010's,0
66,Tamia,2.714573333,61,9772464,48,R&B/Soul,Late 2000's,1
67,Mike Jones,2.706932778,62,9744958,42,Hip-Hop/Rap,Early 2000's,0
68,The Marias,2.603436389,63,9372371,25,Indie Pop,Late 2010's,0
69,DESTIN CONRAD,2.586708056,64,9312149,23,R&B/Soul,2020's,1
70,Oxlade,2.557114444,65,9205612,26,Afrobeats,2020's,1
71,Nicki Minaj,2.530458056,66,9109649,40,Hip-Hop/Rap,2010's,1
72,Ella Mai,2.507828889,67,9028184,29,R&B/Soul,Late 2010's,1
73,Rihanna,2.458755556,68,8851520,35,R&B/Soul,2010's,1
74,The Weeknd,2.439920278,69,8783713,33,R&B/Soul,2010's,1
75,Queen Naija,2.4178375,70,8704215,28,R&B/Soul,Late 2010's,1
76,Wale,2.417619444,71,8703430,39,R&B/Soul,2010's,1
77,Arin Ray,2.402991389,72,8650769,28,R&B/Soul,2020's,1
78,Rich Gang,2.314517222,73,8332262,31,Hip-Hop/Rap,Late 2010's,0
79,Dreamville,2.309179167,74,8313045,31,Hip-Hop/Rap,2020's,1
80,Destiny's Child,2.304632778,75,8296678,42,R&B/Soul,Early 2000's,1
81,Justin Timberlake,2.256539722,76,8123543,42,R&B/Soul,2000's,1
83,Diggy,2.130811667,77,7670922,28,R&B/Soul,Early 2010's,1
84,Victoria Monet,2.126666389,78,7655999,34,R&B/Soul,2020's,1
85,Keyshia Cole,2.126122222,79,7654040,42,R&B/Soul,Late 2000's,1
86,Wizkid,2.064129167,80,7430865,33,Afrobeats,2020's,1
17,Young Nudy,2,81,58547358,30,Hip-Hop/Rap,Late 2010's,0
87,Jai'Len Josey,1.9726825,82,7101657,24,R&B/Soul,2020's,1
88,Ariana Grande,1.921379444,83,6916966,30,R&B/Soul,2010's,1
89,Frank Ocean,1.886766944,84,6792361,36,R&B/Soul,2010's,1
90,Khamari,1.8368625,85,6612705,26,R&B/Soul,2020's,1
91,Lucky Daye,1.7702125,86,6372765,38,R&B/Soul,Late 2010's,1
92,GIVEON,1.767766389,87,6363959,28,R&B/Soul,Late 2010's,1
93,Justin Bieber,1.759591667,88,6334530,29,Pop,2010's,0
94,"Tyler, The Creator",1.754348056,89,6315653,32,Hip-Hop/Rap,2010's,1
95,Fat Joe,1.752181111,90,6307852,53,Hip-Hop/Rap,2000's,0
96,TWENTY88,1.727654722,91,6219557,32,R&B/Soul,2000's,1
97,Kirk Franklin,1.706215833,92,6142377,53,Christian,2000's,1
98,Freddie Gibbs,1.677417778,93,6038704,41,Hip-Hop/Rap,2020's,1
99,Harry Styles,1.6624575,94,5984847,29,Pop,Late 2010's,0
100,Miley Cyrus,1.64488,95,5921568,31,Pop,2020's,0
103,Slum Village,1.607062222,97,5785424,32,Hip-Hop/Rap,Late 2000's,0
104,2Pac,1.589673889,98,5722826,25,Hip-Hop/Rap,1990's,1
105,Big Sean,1.583645,99,5701122,35,Hip-Hop/Rap,2010's,1
106,Aaliyah,1.551504444,100,5585416,22,R&B/Soul,1990's,1
107,Mac Ayres,1.531912778,101,5514886,26,R&B/Soul,Late 2010's,1
108,Latto,1.527291111,102,5498248,24,Hip-Hop/Rap,Late 2010's,0
109,Doja Cat,1.510833611,103,5439001,28,Hip-Hop/Rap,2020's,0
110,Mary J. Blige,1.484847778,104,5345452,52,R&B/Soul,1990's,0
